fecha,descripcion,ambito,id_municipio,lugar
2025-06-24,San Xo�n,municipal,27057,Sarria
2025-09-08,Virxe dos Remedios,municipal,27057,Sarria
2025-03-04,Martes de Entroido,municipal,27058,O Saviñao
2025-08-05,festas patronais de Escair�n,municipal,27058,O Saviñao
2025-09-08,romar�a de Cadeiras,municipal,27059,Sober
2025-09-22,festa do Carme de Sober,municipal,27059,Sober
2025-03-04,Martes de Entroido,municipal,27060,Taboada
2025-08-11,festas da vila,municipal,27060,Taboada
2025-03-04,Martes de Entroido,municipal,27061,Trabada
2025-04-25,San Marcos,municipal,27061,Trabada
2025-03-04,Martes de Entroido,municipal,27062,Triacastela
2025-09-09,Santo Milagre do Cebreiro,municipal,27062,Triacastela
2025-03-04,Martes de Entroido,municipal,27063,O Valadouro
2025-09-09,festa do Oito,municipal,27063,O Valadouro
2025-03-04,Martes de Entroido,municipal,27064,O Vicedo
2025-08-04,Santo Estevo,municipal,27064,O Vicedo
2025-03-04,Martes de Entroido,municipal,27065,Vilalba
2025-09-01,Santa Mar�a (d�a da patroa de Vilalba),municipal,27065,Vilalba
2025-03-04,Martes de Entroido,municipal,27066,Viveiro
2025-06-24,San Xo�n,municipal,27066,Viveiro
2025-08-27,festas de San Vitorio,municipal,27901,Baralla
2025-08-28,festas de San Vitorio,municipal,27901,Baralla
2025-03-04,Martes de Entroido,municipal,27902,Burela
2025-06-02,luns das festas patronais,municipal,27902,Burela
2025-03-04,Martes de Entroido,municipal,32001,Allariz
2025-06-20,Venres do Boi,municipal,32001,Allariz
2025-03-04,Martes de Entroido,municipal,32002,Amoeiro
2025-11-11,San Marti�o,municipal,32002,Amoeiro
2025-05-22,Santa Rita,municipal,32003,A Arnoia
2025-08-01,festa do Pemento,municipal,32003,A Arnoia
2025-03-04,Martes de Entroido,municipal,32004,Avión
2025-08-04,Luns de San Roque,municipal,32004,Avión
2025-03-04,Martes de Entroido,municipal,32005,Baltar
2025-03-19,San Xos�,municipal,32005,Baltar
2025-03-04,Martes de Entroido,municipal,32006,Bande
2025-08-25,festas de San Roque,municipal,32006,Bande
2025-08-06,San Salvador,municipal,32007,Baños de Molgas
2025-09-08,Virxe dos Milagres,municipal,32007,Baños de Molgas
2025-03-04,Martes de Entroido,municipal,32008,Barbadás
2025-11-11,San Marti�o,municipal,32008,Barbadás
2025-05-22,Santa Rita,municipal,32009,O Barco de Valdeorras
2025-09-15,d�a h�bil posterior ao d�a do Cristo,municipal,32009,O Barco de Valdeorras
2025-02-03,San Brais,municipal,32010,Beade
2025-07-02,Santa Isabel,municipal,32010,Beade
2025-06-13,Santo Ant�n,municipal,32011,Beariz
2025-08-04,Santo Domingo de G�zman,municipal,32011,Beariz
2025-03-04,Martes de Entroido,municipal,32012,Os Blancos
2025-09-15,d�a da Virxe das Dores,municipal,32012,Os Blancos
2025-06-13,Santo Ant�n,municipal,32013,Boborás
2025-09-19,festa da Saleta,municipal,32013,Boborás
2025-03-04,Martes de Entroido,municipal,32014,A Bola
2025-05-02,Santa Cruz en Veiga,municipal,32014,A Bola
2025-03-04,Martes de Entroido,municipal,32015,O Bolo
2025-12-13,,municipal,32015,O Bolo
2025-03-04,Martes de Entroido,municipal,32016,Calvos de Rand�n
2025-08-04,festas de Calvos,municipal,32016,Calvos de Rand�n
2025-03-04,Martes de Entroido,municipal,32017,Carballeda de Valdeorras
2025-04-28,Nosa Se�ora da Encarnaci�n,municipal,32017,Carballeda de Valdeorras
2025-03-04,Martes de Entroido,municipal,32018,Carballeda de Avia
2025-06-09,Luns de Lodairo,municipal,32018,Carballeda de Avia
2025-03-04,Martes de Entroido,municipal,32019,O Carballiño
2025-09-17,d�a do patr�n San Cibr�n,municipal,32019,O Carballiño
2025-03-21,San Bieito,municipal,32020,Cartelle
2025-08-22,Nosa Se�ora do Mundil,municipal,32020,Cartelle
2025-01-17,Santo Ant�n,municipal,32021,Castrelo do Val
2025-03-05,M�rcores de Cinza,municipal,32021,Castrelo do Val
